Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
3-5389,383111580014962888,2. 1. 2023 08:00:00,2023,1,14.0000,0.0000,3.0000,0.2500,56.0000,0.0000,12.0000,1.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 08:15:00,2023,1,14.0000,0.0000,2.7500,0.0000,56.0000,0.0000,11.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 08:30:00,2023,1,13.5000,0.0000,3.0000,0.0000,54.0000,0.0000,12.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 08:45:00,2023,1,13.5000,0.0000,2.5000,0.0000,54.0000,0.0000,10.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 09:00:00,2023,1,12.7500,0.0000,3.2500,0.0000,51.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 09:15:00,2023,1,12.2500,0.0000,1.5000,0.0000,49.0000,0.0000,6.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 09:30:00,2023,1,13.5000,0.0000,2.7500,0.0000,54.0000,0.0000,11.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 09:45:00,2023,1,14.7500,0.0000,3.2500,0.0000,59.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 10:00:00,2023,1,14.0000,0.0000,3.2500,0.0000,56.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 10:15:00,2023,1,13.0000,0.0000,2.5000,0.0000,52.0000,0.0000,10.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 10:30:00,2023,1,13.0000,0.0000,3.2500,0.0000,52.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 10:45:00,2023,1,13.7500,0.0000,2.7500,0.0000,55.0000,0.0000,11.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 11:00:00,2023,1,14.5000,0.0000,2.7500,0.0000,58.0000,0.0000,11.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 11:15:00,2023,1,12.2500,0.0000,2.7500,0.0000,49.0000,0.0000,11.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 11:30:00,2023,1,13.7500,0.0000,3.0000,0.0000,55.0000,0.0000,12.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 11:45:00,2023,1,12.2500,0.0000,2.0000,0.0000,49.0000,0.0000,8.0000,0.0000,2,,,,,,Ne
